leg_x,leg_y,correlation,pair_bucket,corr_threshold_used,sector_x,sector_y
SPY,VB,0.9210129427355156,Same Sector,0.7,Broad Market,Broad Market
IVV,QQQ,0.9208380158215707,Same Sector,0.7,Broad Market,Broad Market
VTV,VFH,0.9203404735453061,Cross Sector,0.7,Factor,Financials
XLE,XOP,0.9201534717745135,Same Sector,0.7,Energy,Energy
LQD,VCIT,0.9201031246364432,Same Sector,0.7,Fixed Income,Fixed Income
IVE,XLI,0.9199679053988334,Cross Sector,0.7,Factor,Industrials
VTI,QQQ,0.9199001895099175,Same Sector,0.7,Broad Market,Broad Market
VV,VBK,0.9191724475106298,Cross Sector,0.7,Broad Market,Factor
VOO,MDY,0.9190925177600414,Same Sector,0.7,Broad Market,Broad Market
IWD,VFH,0.9187584511389418,Cross Sector,0.7,Factor,Financials
VYM,VBR,0.9186967264713665,Same Sector,0.7,Factor,Factor
VTV,XLI,0.9186938065263714,Cross Sector,0.7,Factor,Industrials
VOO,IJH,0.9182250528011611,Same Sector,0.7,Broad Market,Broad Market
XLE,OIH,0.9181149335934985,Same Sector,0.7,Energy,Energy
XLY,SCHG,0.9177886098912048,Cross Sector,0.7,Consumer Discretionary,Factor
VCIT,IGIB,0.9176422498672725,Same Sector,0.7,Fixed Income,Fixed Income
OEF,VGT,0.9175431864812346,Cross Sector,0.7,Broad Market,Technology
IBB,XBI,0.9175381225068221,Same Sector,0.7,Health Care,Health Care
IWB,VGT,0.9174990529884746,Cross Sector,0.7,Broad Market,Technology
SPY,QQQ,0.9173625469526264,Same Sector,0.7,Broad Market,Broad Market
VB,SCHV,0.9172312667145641,Cross Sector,0.7,Broad Market,Factor
VBR,DVY,0.9171676440238721,Same Sector,0.7,Factor,Factor
VV,VGT,0.9171666305685533,Cross Sector,0.7,Broad Market,Technology
IVE,XLF,0.9159377574673985,Cross Sector,0.7,Factor,Financials
IVV,XLK,0.9157247158216492,Cross Sector,0.7,Broad Market,Technology
IAI,XLF,0.9156268591382141,Same Sector,0.7,Financials,Financials
