direction,entry_date,exit_date,entry_z,exit_z,entry_spread,exit_spread,hedge_ratio,pnl,exit_reason,trading_year,leg_x,leg_y
SHORT,2018-04-11,2018-07-25,2.2886810896065435,0.41654631487585775,0.264537196683889,0.3320835230506374,0.8267620993422482,-415.3525485119362,convergence,2018,IJR,VIS
SHORT,2018-07-24,2018-07-25,2.855485900205403,4.14867355381346,1.9359840253953937,1.9577879868109362,0.7135153701635273,-146.69997529342842,stop_loss,2018,VIG,XHB
SHORT,2018-07-12,2018-07-30,2.1048372254987235,0.48125270878421916,0.5358963557831382,0.49321670793255645,1.0947724104746142,184.4903007321171,convergence,2018,IWF,VPL
SHORT,2018-07-12,2018-07-30,2.04913218349209,0.31595978694080795,-0.4074969973599405,-0.46364743946439546,1.3869748206428194,215.68384971531663,convergence,2018,VGT,VPL
SHORT,2018-08-10,2018-09-11,2.3243913463014545,0.489598003952278,2.7868216959483787,2.783098930113779,0.355514812694917,7.460389027588558,convergence,2018,BND,IGOV
LONG,2018-05-29,2018-09-11,-2.1748609388190965,-0.4161455412145875,-0.18827196580836514,-0.20470449184786776,0.8687582303745544,-116.10280324263077,convergence,2018,IJH,IJR
SHORT,2018-04-06,2018-09-11,2.000602348784479,0.482154811953329,-2.1514541168168213,-2.1091542186119625,1.113313277826717,-252.58895970696156,convergence,2018,IJR,MDY
LONG,2018-08-15,2018-09-11,-2.113435278681259,-0.44348885493652745,-9.434140402909819,-9.400915268996247,3.1506107414127316,60.35045855063568,convergence,2018,GLD,TIP
LONG,2018-08-15,2018-09-11,-2.085061089790537,-0.3913728291330974,-11.273963525345874,-11.240107879533582,3.2049290154037244,60.826418985501206,convergence,2018,IAU,TIP
SHORT,2018-08-23,2018-09-17,2.020299245981723,-0.026502403054995766,1.3320000313102112,1.3108181913318537,0.782201457331687,99.46941528306415,convergence,2018,IWM,VAW
