pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry,qty_x,qty_y,entry_px,entry_py
FEZ_EWI,FEZ,EWI,EUROPE,SHORT,2018-05-18,2018-07-09,34,3.121591078336253,0.9397943495251504,0.727583727545453,13.963463785130516,-258.8062957722268,max_holding,62029.971854425035,-646.671656277366,638.2235716624699,33.314239501953125,24.55974578857422
EWI_EWN,EWI,EWN,EUROPE,LONG,2018-05-29,2018-07-10,29,-3.300892351850905,-0.6621831789629993,1.1216779862158588,11.927783998968724,541.7052373920137,max_holding,62029.971854425035,792.2884062637738,-727.9117176853456,22.140634536743164,27.03104591369629
EZU_EWI,EZU,EWI,EUROPE,SHORT,2018-05-21,2018-07-11,35,2.809605229898981,0.7590255014683261,0.7748578899469161,14.804128689550003,-186.36387875408593,max_holding,62029.971854425035,-579.6216941199126,662.2088785182104,36.17800521850586,24.53670883178711
SCHV_DVY,SCHV,DVY,US_VALUE,LONG,2018-06-27,2018-07-16,12,-2.9233668096124847,-0.010448757599955096,1.1468147551330026,6.663542817733871,253.97190911015767,convergence,62029.971854425035,1194.0541143060263,-265.8674923723138,14.51891803741455,74.78014373779297
EZU_EWI,EZU,EWI,EUROPE,SHORT,2018-08-28,2018-09-05,5,2.921890502042927,0.06488917581051415,0.7748578899469161,14.804128689550003,662.1899374278383,convergence,62380.4788264009,-602.5110429540306,745.0104772146524,35.000267028808594,21.932899475097656
IJR_VBK,IJR,VBK,US_SMALL,LONG,2019-06-07,2019-07-01,16,-3.062524501764661,-1.3243805119134215,1.081618948200894,6.418177738263386,-117.17606302542309,max_holding,63042.66876382873,265.8517687493263,-112.84601625862977,68.35102844238281,174.1697235107422
KRE_IAI,KRE,IAI,FINANCIALS,LONG,2019-06-10,2019-07-03,17,-2.807860539513621,-1.6823506649032647,1.4884903085455372,7.182875906431372,147.84367491041786,max_holding,63042.66876382873,349.7706396247099,-393.50887552664375,43.45767974853516,57.49649429321289
RSP_OEF,RSP,OEF,US_BROAD,SHORT,2020-06-05,2020-06-24,13,2.9663784211031023,-0.029572406045796452,0.7971598639449516,8.804754669507204,1492.5988441778193,convergence,63073.33637571373,-208.7822207622794,123.9608548216653,100.85950469970705,135.4163818359375
LQD_IGIB,LQD,IGIB,BONDS_CORP,SHORT,2021-06-17,2021-07-08,14,3.1788437475711815,1.7987039051923215,1.0931130284642228,5.827794897848419,-95.98954587849977,max_holding,64565.935219891544,-164.24159526743463,398.38192240470744,112.68830871582033,50.78406524658203
LQD_VCIT,LQD,VCIT,BONDS_CORP,SHORT,2021-06-17,2021-07-08,14,3.06620853642,1.7842217192739922,1.117450960987107,5.677474585783511,-103.86864533755637,max_holding,64565.935219891544,-162.3538061583984,256.92981110312354,112.68830871582033,79.57109069824219
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2021-06-08,2021-07-19,28,-2.856331179564543,-1.7918149726112806,1.4725819914802465,11.578453031051968,-1024.5600034422657,max_holding,64565.935219891544,366.89233097750525,-510.3174785774322,42.70368576049805,45.21088790893555
LQD_VCIT,LQD,VCIT,BONDS_CORP,SHORT,2021-09-22,2021-09-28,4,2.8741270842065556,-0.5730913326950998,1.117450960987107,5.677474585783511,44.51349076305597,convergence,63341.51702523322,-155.4960101092855,248.21312760358813,115.42691802978516,80.80348205566406
FEZ_EWL,FEZ,EWL,EUROPE,SHORT,2021-09-27,2021-10-21,18,2.9434203108496027,0.02152315124252582,1.4725819914802465,11.578453031051968,736.8285169343872,convergence,63341.51702523322,-368.8694465443689,514.6315833791066,41.6693115234375,43.98170471191406
VB_VBR,VB,VBR,US_SMALL,LONG,2022-05-09,2022-06-07,20,-3.582567214164206,-0.44119240047663993,0.6251582954188801,8.352385325148056,731.1607538079506,max_holding,64122.85903293066,135.24102592124945,-99.97086443086839,175.0491485595703,148.04202270507812
IWM_IJR,IWM,IJR,US_SMALL,LONG,2022-05-09,2022-06-09,22,-3.5598834825326717,-0.7287921589639368,0.6188830885873863,8.839427546194111,564.8409760464197,max_holding,64122.85903293066,142.37934155023208,-161.937317384372,166.91741943359375,90.8260269165039
EWU_EWI,EWU,EWI,EUROPE,SHORT,2022-06-10,2022-06-17,5,2.8638462139860343,0.14049407009974155,0.8842583660989938,6.288075854728337,450.21804231159666,convergence,65418.86076278503,-758.2832374297309,812.5137606768682,27.47149658203125,22.67055892944336
EWQ_EWI,EWQ,EWI,EUROPE,SHORT,2022-06-10,2022-07-13,21,3.401739730004404,2.1922398505479883,1.3042840827766695,8.790165837520773,-912.3710470294089,max_holding,65418.86076278503,-592.299297623481,980.0047350609013,28.759212493896484,22.67055892944336
EWU_EWI,EWU,EWI,EUROPE,SHORT,2022-06-30,2022-07-14,9,2.8910950880808253,2.9797548122361683,0.8842583660989938,6.288075854728337,-647.9711449117545,stop_loss_time,65869.07880509662,-786.947166196872,858.1955076486047,26.65304374694824,21.61152076721192
EWU_EWI,EWU,EWI,EUROPE,SHORT,2022-07-14,2022-08-04,15,2.9797548122361683,0.6955677692358969,0.8842583660989938,6.288075854728337,462.58031185506127,max_holding,64308.73661315546,-807.3810258830194,916.249469739273,25.363094329833984,19.76269721984864
EWQ_EWI,EWQ,EWI,EUROPE,SHORT,2022-07-14,2022-08-12,21,3.059394361077217,0.38188346619998437,1.3042840827766695,8.790165837520773,1084.101261707981,max_holding,64308.73661315546,-632.1322449913621,1105.1244450229422,26.48971366882324,19.76269721984864
EWJ_EWS,EWJ,EWS,ASIA_DEV,SHORT,2023-05-16,2023-06-21,24,2.835135801461418,1.4191769903836797,1.1065781060442081,9.846141690221737,-881.3828307180102,max_holding,65855.4181867185,-326.81630662802195,1215.4375337850486,57.39333724975586,17.077119827270508
EZU_EWU,EZU,EWU,EUROPE,SHORT,2023-06-28,2023-07-20,15,2.801140622702691,-0.08806117100355254,1.3642039164699207,12.919627311750506,278.5304211412487,convergence,64974.03535600049,-385.7629365049687,764.2974709286188,42.74503326416016,29.43222045898437
EZU_EWU,EZU,EWU,EUROPE,LONG,2023-09-14,2023-10-27,31,-3.158952833267932,-0.07083180479197577,1.3642039164699207,12.919627311750506,191.71281922942865,convergence,65252.56577714174,398.89430654381607,-753.4337195779273,41.515098571777344,29.98459243774414
EWG_EWU,EWG,EWU,EUROPE,LONG,2024-04-25,2024-05-30,24,-2.844780806910894,-1.1386789650799731,1.4635569412331086,9.651924103805094,-445.4131800762679,max_holding,65444.278596371165,540.8832883480222,-716.8103763738426,29.468414306640625,32.54360580444336
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2024-06-04,2024-06-14,8,-3.4314238744084657,-4.0919026578502695,0.9673024836805407,7.301731784316772,-1500.182627028977,stop_loss_time,64998.865416294895,502.26904989478805,-399.5974056942325,39.4683952331543,47.987213134765625
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2024-06-14,2024-07-12,18,-4.0919026578502695,-1.1448461836415815,0.9673024836805407,7.301731784316772,505.36665052599346,max_holding,63498.68278926592,530.0323090704077,-391.3591732453391,36.53780746459961,47.866493225097656
EWG_EWN,EWG,EWN,EUROPE,LONG,2024-06-13,2024-07-12,19,-2.9697993124999296,-0.1468774986824404,0.7847371371117219,10.739509118877958,356.3183972627432,convergence,64998.865416294895,725.741779837337,-342.6204048040613,30.109298706054688,50.04880905151367
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2024-06-04,2024-07-17,29,-3.0605144747963964,-1.8185143714684373,1.0333708764141127,11.700115328151954,-862.2168697102719,max_holding,64998.865416294895,381.92851443111005,-413.02003201704576,50.21787643432617,47.987213134765625
EZU_EWL,EZU,EWL,EUROPE,LONG,2024-06-11,2024-07-22,27,-3.073494225686452,-1.2636896086220477,0.9413231626074533,10.954683962665209,-522.815458992761,max_holding,64998.865416294895,414.5069916200533,-397.34419928398836,48.46490097045898,47.59168243408203
